Barcode,Itemno,Description,Category,Product Group,R.Price
105368957,206596,ORGANIC JUJUBI 500G,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, 9.14 
105369800,206597,ORGANIC CHERRY TOMATO 250G,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, -   
105369930,205360,ORGANIC CAPSICUM MIX 500G,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, -   
2000005925306,180250,CHILLI RED ORGANIC PC,FRUIT & VEGETABLE,FRESH VEGETABLES, -   
2000009824711,180248,TOMATO CHERRY ORGANIC PC,FRUIT & VEGETABLE,FRESH VEGETABLES, -   
2000013051271,204410,ORGANIC BROCCOLI TENDERSTEM,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, -   
2000013051288,204423,ORGANIC SWEET CORN BABY,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, 11.27 
2000013051332,204418,ORGANIC ONION SPRING,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, -   
2000013452627,204441,ORGANIC SWEETMELON,FRUIT & VEGETABLE,ORGANIC FRUITS&VEG, 28.06 
2005553587488,125147,BACKPACK BIG -03,STATIONARY,SCHOOL BAGS, 71.86 
2010000918616,138774,ALPHA 2 PCS BOXFILE PACK,STATIONARY,OFFICE / FILLING STATIONERY, 14.79 
2010000918692,138777,STAEDLER 13PC PENCL+SHARP+ERSR,STATIONARY,WRITING EQUIPMENT, 14.79 
201801000125,214085,BETTER BREAD ORGANIC WHITE SANDWICH BREAD,BAKERY & PASTRY,FRESH BAKERY, 10.22 
201801000132,214084,BETTER BREAD ORGANIC WHOLE WHEAT SANDWICH BREAD,BAKERY & PASTRY,FRESH BAKERY, 11.27 
2050542662219,135262,"FAROOK 90GM ENVELOP 10X7""",STATIONARY,WRITING STATIONERY, 4.57 
2050542662226,135263,"FAROOK 90GM ENVELOP 12X10""",STATIONARY,WRITING STATIONERY, 5.66 
2050542669997,135264,"FAROOK 90GM ENVELOP 15X10"" 10P",STATIONARY,WRITING STATIONERY, 6.61 
2094120601601,137603,BACK PACK FOR GIRLS,STATIONARY,SCHOOL BAGS, 35.63 
2094120601602,137602,BACK PACK FOR GIRLS,STATIONARY,SCHOOL BAGS, 35.63 
2094120906017,137598,TROLLY BAG SET FOR GIRLS,STATIONARY,SCHOOL BAGS, 73.08 
2094120912017,137594,TROLLY BAG SET FOR GIRLS,STATIONARY,SCHOOL BAGS, 73.08 
2094120912617,137601,TROLLY BAG SET FOR BOYS,STATIONARY,SCHOOL BAGS, 73.08 
2094120912717,137599,TROLLY BAG SET FOR BOYS,STATIONARY,SCHOOL BAGS, 73.08 
2094120930317,137595,TROLLY BAG SET FOR GIRLS,STATIONARY,SCHOOL BAGS, 73.08 
2094120930517,137600,TROLLY BAG SET FOR BOYS,STATIONARY,SCHOOL BAGS, 73.08 
2129107,145149,KRAFT COLBY JACK CHUNK 226G,DAIRY SS,DAIRY CHEESE, 12.62 
2200001513761,143614,PRESIDENT L/SLICE TRIPLE3X200G,DAIRY SS,DAIRY CHEESE, 13.70 
2227922700018,121085,RYE FLOUR T 1150 25KG,BAKERY & PASTRY,RAW MATERIALS, 100.05 
2227922700025,121086,PUMPER NICKLE 25KG,BAKERY & PASTRY,RAW MATERIALS, 225.33 
2227922700032,121087,SOYA BREAD 10KG,BAKERY & PASTRY,RAW MATERIALS, 113.10 
2227922700049,121088,TART 8.3cm 192pc,BAKERY & PASTRY,RAW MATERIALS, 204.45 
2227922700056,121089,TART 18CM 14PC,BAKERY & PASTRY,RAW MATERIALS, 118.32 
2227922700063,121090,SAVARIN 120PC,BAKERY & PASTRY,RAW MATERIALS, 94.83 
2227922700070,121091,ECLAIR 140PC,BAKERY & PASTRY,RAW MATERIALS, 156.60 
2227922700087,121092,TART 4.5cm 360pc,BAKERY & PASTRY,RAW MATERIALS, 178.35 
2227922705419,127512,LACNOR UHT MILK 1L 1X4PC+CEREA,DAIRY SS,UHT MILK, 12.18 
2227922708052,129556,AL ISLAMI CHKN GRILR 10X800GM,FROZEN FOOD,CHICKEN POULTRY, 110.93 
2227922708069,129557,AL ISLAMI CHKN GRILR 10X900GM,FROZEN FOOD,CHICKEN POULTRY, 124.41 
2227922708076,129558,AL ISLAMI CHKN GRILL 10X1000GM,FROZEN FOOD,CHICKEN POULTRY, 138.33 
2227922715999,143666,ASWAAQ A4 WRITING PAD,STATIONARY,OFFICE STATIONERY, 4.79 
2227922719317,148323,NESCAFE BLACK COFFEE,COFFEE SHOP,COFFEE MACHINE, 1.74 
2227922719324,148324,NESCAFE WITH MILK COFFEE,COFFEE SHOP,COFFEE MACHINE, 2.61 
2227922719331,148325,HOT CHOCOLATE,COFFEE SHOP,COFFEE MACHINE, 2.61 
2227922719348,148326,ESPRESSO COFFEE,COFFEE SHOP,COFFEE MACHINE, 2.61 
2227922719355,148327,MOCHACCINO COFFEE,COFFEE SHOP,COFFEE MACHINE, 2.61 
2227922719362,148328,CAPPUCINO COFFEE,COFFEE SHOP,COFFEE MACHINE, 2.61 
2227922719379,148329,CARDAMOM TEA,COFFEE SHOP,COFFEE MACHINE, 1.74 
2227922719386,148330,RUFFLES IP TUMBLER4OZ -1000PC,COFFEE SHOP,COFFEE INGREDIENTS, 187.05 
2227922719393,148331,RUFFLES IP TUMBER 8OZ-1000PC,COFFEE SHOP,COFFEE INGREDIENTS, 291.45 
2227922719409,148332,SIP-T DOME LID 042CG8-1000PC,COFFEE SHOP,COFFEE INGREDIENTS, 73.95 
2227922719416,148613,KADAK MASALA TEA CARDAMOM,COFFEE SHOP,COFFEE MACHINE, 1.74 
2227922719423,148614,KADAK CAPPUCCINO,COFFEE SHOP,COFFEE MACHINE, 3.48 
2227922727534,161770,PIGEON BACK PACK WP 25011,STATIONARY,SCHOOL BAGS, 51.33 
2227922727541,161771,PIGEON BACK PACK WP 25014,STATIONARY,SCHOOL BAGS, 51.33 
2503001000003,118783,FRESH LABANA SOFT KG,CHEESE,FRESH WHITE CHEESE, 21.97 
2503002000002,118784,FRESH LABNEH PLAIN (DRY) KG,CHEESE,FRESH WHITE CHEESE, 27.62 
2503003000001,118785,FRESH LABANA WITH ZAATAR,CHEESE,FRESH WHITE CHEESE, 27.62 
2503004000000,118786,FRESH LABANA WITH MINT - KG,CHEESE,FRESH WHITE CHEESE, 26.54 
2503005000009,118787,FRESH LABANA WITH CHILLY - KG,CHEESE,FRESH WHITE CHEESE, 26.54 
2503006000008,118788,Fr Lab W/Habat Baraka - KG,CHEESE,FRESH WHITE CHEESE, 26.54 
2503007000007,118789,FRESH LABNEH LOW FAT - KG,CHEESE,FRESH WHITE CHEESE, 26.54 
2503008000006,118790,FRESH LABANA GARLIC - KG,CHEESE,FRESH WHITE CHEESE, 26.54 
2503009000005,118791,FRESH LABANA PLAIN IN OIL - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
2503010000001,118792,Fr Labana W/Zatar In Oil - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
2503011000000,118793,Fr Labana W/Mint In Oil - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
2503012000009,118794,Fr Labana W/Chily In Oil - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
2503013000008,118795,F Lab Habat Baraka In/Oil - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
2503014000007,118796,Fr Labana W/Thyme In Oil - KG,CHEESE,FRESH WHITE CHEESE, 33.06 
3023292296026,145143,NESTLE CRM CARAMEL BRUN 4X100G,ULTRA FRESH,DESSERT, 26.32 
3023299624051,191690,MUNCH BUNCH F/FRAIS 6X42G,ULTRA FRESH,YOGOURT, 20.36 
3029330002673,173708,JACQUET MN TOAST FOIEGRAS 255G,ULTRA FRESH,DESSERT, 11.75 
3029330002765,173707,JACQUET MINI TOASTS NATURE255G,ULTRA FRESH,DESSERT, 11.75 
3029330014522,173703,CADBURY SWISS GATEAU 355G,ULTRA FRESH,DESSERT, 10.01 
3029330023081,173705,JACQUET ROUND TOASTS FIGS 250G,ULTRA FRESH,DESSERT, 10.01 
3029330034018,173706,JACQUET ROUND TOAST SP BRD250G,ULTRA FRESH,DESSERT, 10.01 
3029330062790,173709,JACQUET MINI SPOONS 42G,ULTRA FRESH,DESSERT, 13.27 
8901058090277,148322,NESTEA VEN MIX CARDAMOM POUCH,COFFEE SHOP,COFFEE INGREDIENTS, 31.28 
9555246600046,212862,YAKULT GOLD 80ML,ULTRA FRESH,YOGOURT, 3.65 
9555246600060,212863,YAKULT GOLD 5X80ML,ULTRA FRESH,YOGOURT, 18.27 
96100707,191685,C/TIVE PASSIONFRUIT 150 G,ULTRA FRESH,YOGOURT, 10.09 
96123935,191682,C/TIVE RASPBERRY 150 G,ULTRA FRESH,YOGOURT, 10.09 
96139318,191683,C/TIVE WILD BLUEBERRY 150 G,ULTRA FRESH,YOGOURT, 10.09 
9715539555655,204095,ORGANILICIOUZ ORGANIC YOGURT FRESH 500GM,ULTRA FRESH,FRESH MILK, 16.88 
9715539555662,197505,ORGANILICIOUZ ORGANIC LABAN 500ML,ULTRA FRESH,FRESH MILK, 11.31 
9715539555679,197504,ORGANILICIOUZ  FULL FAT ORGANIC MILK1L,ULTRA FRESH,FRESH MILK, 16.53 
9854566381995,176458,RYMAHBASMATIRICE-5KG(SP.PRICE),DRY FOOD,DRYFOOD PROMOTION, 37.41 
9900000053451,171114,HARVEST WHITE OATS 2X500GM,DRY FOOD,DRYFOOD PROMOTION, 9.14 
9999968975431,165591,G.PRIZE WH KERNEL CORN 4X425GM,DRY FOOD,DRYFOOD PROMOTION, 9.57 
9999999927287,153762,RIOMARE SALATN BEANS160GX2@30%,DRY FOOD,DRYFOOD PROMOTION, 14.14 
9999999927294,153761,RIOMARE SALATN MEXICO 160G 2+1,DRY FOOD,DRYFOOD PROMOTION, 20.01 
